"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HUBTOWN","Hubtown Limited","7(2)","Khilen Vyomesh Shah","Promoter Group","Equity Shares","4148974","3",,"1581747","347984340","Buy","Equity Shares","5730721","4.1","03-Oct-2025","03-Oct-2025","06-Oct-2025","Conversion of security","-","-","0","0","0","0","NA","-","23-Oct-2025 20:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189028_1555896_23102025081419_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Sanjay Wadhwa","Key Managerial Personnel","Equity Shares","5478","0",,"2000","2370853","Sell","Equity Shares","3478","0","21-Oct-2025","21-Oct-2025","22-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Oct-2025 18:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189026_1555853_23102025065607_WEB.xml"
"SGFIN","SG Finserve Limited","7(2)","Sahil Sikka","Key Managerial Personnel","Equity Shares","12035","0.02",,"12035","4687663","Sell","Equity Shares","Nil","0","20-Oct-2025","21-Oct-2025","21-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Oct-2025 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189024_1555798_23102025054447_WEB.xml"
"SGFIN","SG Finserve Limited","7(2)","Sahil Sikka","Key Managerial Personnel","Equity Shares","16248","0.03",,"4213","1629839","Sell","Equity Shares","12035","0.02","18-Sep-2025","19-Sep-2025","19-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","23-Oct-2025 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189024_1555798_23102025054447_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Ashish Kumar Gupta","-","Equity Shares","94527","0",,"11903","17853310","Buy","Equity Shares","106430","0","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Niraj Kumar Nirbhay Narayan Das","-","Equity Shares","8868","0",,"4948","7421505","Buy","Equity Shares","13816","0","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","8133888","0.3",,"26754","40128325","Sell","Equity Shares","8107134","0.3","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Priyadarshi Ashok Das","-","Equity Shares","67571","0",,"3319","4978168","Buy","Equity Shares","70890","0","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Kevin Mcgee","-","Equity Shares","Nil","0",,"3650","5474635","Buy","Equity Shares","3650","0","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Manish Anand","-","Equity Shares","39773","0",,"1987","2980301","Buy","Equity Shares","41760","0","16-Oct-2025","16-Oct-2025","20-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","22-Oct-2025 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml"
