"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"VGUARD","V-Guard Industries Limited","ICICI Prudential Mutual Fund","20-OCT-2025 to 20-OCT-2025","53077",,"21843603","Reg29(1)","23-Oct-2025, 20-07","23-Oct-2025 20:07","00:00:09"
"VGUARD","V-Guard Industries Limited","ICICI Prudential Mutual Fund","20-OCT-2025 to 20-OCT-2025","53077",,"21843603","Reg29(1)","23-Oct-2025, 20-06","24-Oct-2025 09:05","12:59:02"
"VEDL","Vedanta Limited","Citicorp International Ltd","15-OCT-2025 to 15-OCT-2025","2095867334",,"2095867334","Reg29(1)","23-Oct-2025, 15-55","23-Oct-2025 15:55","00:00:04"
"ROLEXRINGS","Rolex Rings Limited","Kotak Mahindra Mutual Fund","16-OCT-2025 to 16-OCT-2025","0",,"1689594","Reg29(2)","23-Oct-2025, 14-30","23-Oct-2025 14:30","00:00:35"
"UMIYA-MRO","UMIYA BUILDCON LIMITED","UMIYA HOLDING PRIVATE LIMITED","21-OCT-2025 to 21-OCT-2025","1000",,"6992115","Reg29(2)","23-Oct-2025, 14-29","23-Oct-2025 14:29","00:00:04"
"ITBEES","Nippon Life India Asset Management Limited","Life Insurance Corporation of India","30-SEP-2021 to 17-OCT-2025",,"12773023","18337985","Reg29(2)","23-Oct-2025, 14-28","23-Oct-2025 14:28","00:00:04"
"GOCOLORS","Go Fashion (India) Limited","Nippon India Mutual Fund","06-OCT-2025 to 16-OCT-2025","717502",,"4376866","Reg29(2)","23-Oct-2025, 14-27","23-Oct-2025 14:27","00:00:04"
"PREMEXPLN","Premier Explosives Limited","Amarnath Gupta","17-OCT-2025 to 17-OCT-2025",,"3283485","0","Reg29(2)","23-Oct-2025, 14-25","23-Oct-2025 14:25","00:00:04"
"PREMEXPLN","Premier Explosives Limited","Amarnath Gupta Jointly With Kailash Gupta","17-OCT-2025 to 17-OCT-2025","3283485",,"16384400","Reg29(1)","23-Oct-2025, 13-01","23-Oct-2025 13:01","00:00:04"
"DAVANGERE","Davangere Sugar Company Limited","S S Ganesh","03-SEP-2025 to 03-SEP-2025","145070861",,"357418674","Reg29(2)","23-Oct-2025, 13-00","23-Oct-2025 13:00","00:00:05"
"IOLCP","IOL Chemicals and Pharmaceuticals Limited","Vasudeva Commercial Ltd","17-OCT-2025 to 17-OCT-2025",,"11578195","11741100","Reg29(2)","23-Oct-2025, 12-59","23-Oct-2025 12:59","00:00:03"
"RUSTOMJEE","Keystone Realtors Limited","Boman Rustom Irani","15-OCT-2025 to 16-OCT-2025",,"2288000","45584460","Reg29(2)","23-Oct-2025, 12-58","23-Oct-2025 12:58","00:00:03"
"RUSTOMJEE","Keystone Realtors Limited","Boman Rustom Irani","15-OCT-2025 to 16-OCT-2025",,"1144000","22767230","Reg29(2)","23-Oct-2025, 12-58","23-Oct-2025 12:58","00:00:04"
"RUSTOMJEE","Keystone Realtors Limited","Boman Rustom Irani","15-OCT-2025 to 16-OCT-2025",,"1144000","22792230","Reg29(2)","23-Oct-2025, 12-57","23-Oct-2025 12:57","00:00:05"
"SOMATEX","Soma Textiles & Industries Limited","Teja Ranade Gadhoke","13-OCT-2025 to 13-OCT-2025","858531",,"1975288","Reg29(2)","23-Oct-2025, 12-55","23-Oct-2025 12:55","00:00:03"
"HOMEFIRST","Home First Finance Company India Limited","Government Pension Fund Global","16-OCT-2025 to 16-OCT-2025","38180",,"5194646","Reg29(2)","23-Oct-2025, 12-54","23-Oct-2025 12:54","00:00:03"
