"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 50","25,935.10","25,944.15","25,783.75","25,891.40","25,839.80","-","-51.60","-0.20","15,17,11,868","11,981.02","26,104.20","21,743.65","2.73","5.80"
"HINDALCO","811.35","826.50","811.35","792.40","820.85","-","28.45","3.59","1,13,06,183","927.24","826.50","546.45","6.26","10.02"
"ONGC","254.00","257.40","252.85","252.31","256.79","-","4.48","1.78","1,03,26,277","263.98","274.40","205.00","6.25","-6.83"
"ICICIBANK","1,368.10","1,381.60","1,368.10","1,363.70","1,378.70","-","15.00","1.10","54,39,398","748.81","1,500.00","1,186.00","-2.70","7.59"
"BHARTIARTL","2,008.00","2,030.90","2,006.90","2,007.90","2,027.20","-","19.30","0.96","13,99,885","282.79","2,067.00","1,511.00","2.64","18.65"
"SHRIRAMFIN","711.05","723.35","711.05","709.65","716.45","-","6.80","0.96","31,59,465","226.85","723.35","493.35","13.03","-78.19"
"BEL","422.00","423.70","419.90","418.65","422.00","-","3.35","0.80","97,46,717","411.02","436.00","240.25","3.01","54.11"
"NESTLEIND","1,274.40","1,281.60","1,259.40","1,272.80","1,280.20","-","7.40","0.58","6,78,152","86.00","1,311.60","1,055.00","7.11","-45.84"
"RELIANCE","1,450.00","1,457.00","1,441.00","1,448.40","1,455.50","-","7.10","0.49","54,17,927","784.55","1,551.00","1,114.85","4.16","-46.09"
"TATASTEEL","174.60","177.35","174.50","174.16","175.00","-","0.84","0.48","1,33,56,507","234.66","177.82","122.62","1.62","15.81"
"SUNPHARMA","1,690.00","1,698.30","1,686.00","1,689.90","1,697.50","-","7.60","0.45","2,52,839","42.79","1,922.70","1,548.00","2.79","-10.47"
"COALINDIA","392.65","395.45","390.80","392.65","394.30","-","1.65","0.42","18,68,238","73.48","483.80","349.25","-0.52","-16.16"
"M&M","3,630.00","3,655.30","3,623.60","3,623.60","3,636.10","-","12.50","0.34","8,50,632","309.64","3,723.80","2,425.00","1.08","25.51"
"TCS","3,080.00","3,090.00","3,061.00","3,073.20","3,081.10","-","7.90","0.26","12,50,652","385.09","4,494.90","2,866.60","-0.02","-23.47"
"SBILIFE","1,860.00","1,864.00","1,848.00","1,852.70","1,855.70","-","3.00","0.16","1,73,101","32.11","1,912.00","1,372.55","-0.27","9.10"
"JSWSTEEL","1,140.00","1,151.00","1,131.50","1,138.20","1,139.80","-","1.60","0.14","6,01,773","68.63","1,178.80","880.00","1.90","18.11"
"TRENT","4,796.00","4,806.90","4,760.00","4,783.30","4,789.20","-","5.90","0.12","1,91,205","91.49","7,640.40","4,488.00","-4.53","-36.20"
"DRREDDY","1,280.00","1,288.00","1,265.50","1,279.40","1,280.40","-","1.00","0.08","3,25,631","41.63","1,405.90","1,020.00","-1.69","-80.80"
"BAJAJ-AUTO","9,070.00","9,099.00","9,012.00","9,047.00","9,052.00","-","5.00","0.06","1,40,732","127.43","10,735.10","7,089.35","-0.08","-12.74"
"LT","3,929.30","3,939.90","3,902.00","3,918.70","3,920.50","-","1.80","0.05","5,77,101","226.31","3,966.20","2,965.30","7.52","11.58"
"HCLTECH","1,525.00","1,532.60","1,516.60","1,523.90","1,524.50","-","0.60","0.04","7,18,610","109.56","2,012.20","1,302.75","5.83","-16.40"
"WIPRO","245.00","245.88","243.90","244.30","244.31","-","0.01","-","32,30,172","79.04","324.60","228.00","-2.41","-55.21"
"BAJFINANCE","1,093.50","1,098.60","1,088.05","1,094.15","1,093.90","-","-0.25","-0.02","17,18,812","187.95","1,102.50","645.10","8.71","-83.62"
"ITC","415.95","416.25","413.45","415.95","415.75","-","-0.20","-0.05","70,59,346","292.76","493.50","390.15","2.21","-13.67"
"POWERGRID","289.65","290.75","286.55","289.65","289.35","-","-0.30","-0.10","1,18,60,953","343.80","345.40","247.30","1.05","-10.26"
"JIOFIN","310.00","311.15","307.70","309.05","308.65","-","-0.40","-0.13","35,08,176","108.46","347.35","198.65","-1.53","-1.59"
"TECHM","1,465.40","1,468.00","1,452.10","1,463.40","1,461.20","-","-2.20","-0.15","5,18,257","75.67","1,807.70","1,209.40","-2.79","-13.74"
"INFY","1,539.50","1,543.00","1,519.20","1,528.50","1,525.30","-","-3.20","-0.21","43,74,148","668.19","2,006.45","1,307.00","1.93","-17.45"
