SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,2370853,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Vipul Gala,3077304,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1102896,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1094000,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1357885,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,4745241,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Niraj Murarka,10918991,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Vipul Gala,5150758,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,9838300,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,3927437,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Bohita Mali,1123200,Pledge,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,VINEET RAMESH JAIN,4710547,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,8205000,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,3812407,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,10247840,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Pankaj Fitkariwala,2974000,Sell,,6.26,,,,
AAATECH,,,,,Aaa Technologies Limited,RUCHI AGARWAL,53728000,Sell,,,,,,
AAATECH,,,,,Aaa Technologies Limited,ANJAY AGARWAL,45037765,Sell,,,,,,
AAKAAR,,,,,,,,,,,N,SM,AAKAAR MEDICAL TECHNO LTD,85.0
AARADHYA,,,,,,,,,,,N,ST,AARADHYA DISPOSAL INDUS L,161.0
AARTIPHARM,,,,,Aarti Pharmalabs Limited,Manjula Mahendra Sangoi,4406192,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,SAFECHEM ENTERPRISES PRIVATE LIMITED,556957200,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,SAFECHEM ENTERPRISES PRIVATE LIMITED,27417489,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,ORCHID FAMILY TRUST (Relacion Trusteeship Services Private Limited),38440310,Sell,,42.88,,,,
AATMAJ,,,,,,,,,,,N,SM,AATMAJ HEALTHCARE LIMITED,20.75
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,555070,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,495150,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,515000,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,498960,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,489000,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Rajesh Bihari Singh,2612974,Buy,,80.91,,,,
ABHAPOWER,,,,,,,,,,,N,ST,ABHA POWER N STEEL LTD,40.0
ABSMARINE,,,,,,,,,,,N,SM,ABS MARINE SERVICES LTD,182.2
ACCENTMIC,,,,,,,,,,,N,ST,ACCENT MICROCELL LIMITED,244.95
ACCPL,,,,,,,,,,,N,SM,ACCRETION PHARMA LIMITED,59.0
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,2211000,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,2173500,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Action Construction Equipment Limited Employees Welfare Trust,2892641,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,1971249,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,3764800,Buy,,65.42,,,,
ACTIVEINFR,,,,,,,,,,,N,SM,ACTIVE INFRASTRUCTURES L,177.0
ADANIENT,"2,554.80","2,554.80","2,507.30","2,545.80",,,,,,,,,,
ADANIPORTS,"1,463.00","1,463.50","1,431.50","1,453.10",,,,,,,,,,
ADFFOODS,,,,,ADF Foods Limited,Parul Bimal Thakkar,278280000,Pledge Revoke,,36.13,,,,
ADOR,,,,,Ador Welding Limited,DEEP ASHDA LALVANI,1945906,Buy,,53.72,,,,
ADOR,,,,,Ador Welding Limited,DEEP ASHDA LALVANI,1263950,Buy,,53.72,,,,
ADOR,,,,,Ador Welding Limited,TANIA A MIRCHANDANI,0,Buy,,53.72,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,1022826,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,975000,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,960850,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,644000,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,968000,Sell,,51.15,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,3758233,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,805468,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,4786222,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,670258,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,106774,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,1014000,Sell,,43.07,,,,
AEGISLOG,,,,,Aegis Logistics Limited,HURON HOLDINGS LIMITED,7589000,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,ASIA INFRASTRUCTURE INVESTMENT LTD,7589000,Sell,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,2474172,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,1667475,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,2988039,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,1983588,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,990122,Buy,,58.1,,,,
AERON,,,,,,,,,,,N,SM,AERON COMPOSITE LIMITED,104.5
AESTHETIK,,,,,,,,,,,N,SM,AESTHETIK ENGINEERS LTD,138.75
