MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        85.00,        84.00,        85.90,        80.00,        81.75,                  4729360.00,57600, ,       105.00,        62.00
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        20.75,        20.65,        20.80,        20.65,        20.80,                    82900.00,4000, ,        33.50,        14.50
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       182.20,       181.00,       187.00,       175.00,       181.50,                 13742200.00,77000, ,       275.00,        92.10
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        59.00,        59.00,        59.00,        59.00,        59.00,                    70800.00,1200, ,        82.95,        57.40
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       177.00,       177.00,       177.00,       175.00,       175.00,                   527100.00,3000, ,       190.00,       147.05
N,SM,AERON,AERON COMPOSITE LIMITED,       104.50,       105.00,       109.00,       103.70,       108.85,                  2877700.00,27000, ,       202.20,        99.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       138.75,       141.00,       141.00,       139.00,       139.00,                   560000.00,4000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        64.00,        63.00,        63.00,        62.00,        62.00,                   280575.00,4500, ,        99.65,        42.05
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       155.00,       156.00,       159.50,       152.00,       158.65,                 11990340.00,76800, ,       174.05,        81.00
N,SM,AGUL,A G UNIVERSAL LIMITED,        68.00,        68.00,        68.00,        68.00,        68.00,                   136000.00,2000, ,        70.50,        37.30
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        40.00,        39.00,        40.00,        38.00,        38.00,                   348000.00,9000, ,        90.90,        38.00
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       691.35,       687.90,       709.90,       679.00,       700.85,                 15187480.00,22000, ,       835.00,       358.00
N,SM,AISL,ANI INTEGRATED SERV LTD.,        84.00,        84.00,        85.85,        84.00,        85.85,                   101910.00,1200, ,       207.75,        77.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        89.50,        89.00,        89.00,        87.00,        87.50,                   617150.00,7000, ,       183.25,        82.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       264.50,       272.90,       272.90,       264.55,       268.75,                  2910780.00,10800, ,       633.00,       262.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1157.90,      1157.70,      1197.00,      1144.50,      1194.70,                 49704690.00,42400, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        82.00,        82.00,        82.00,        82.00,        82.00,                   246000.00,3000, ,        95.80,        48.00
N,SM,AMBANIORGO,AMBANI ORGOCHEM LIMITED,       138.90,       131.95,       139.90,       131.95,       139.90,                   271850.00,2000, ,       150.00,        76.15
N,SM,AMBEY,AMBEY LABORATORIES LTD,        40.00,        40.00,        41.95,        40.00,        41.90,                   327700.00,8000, ,        75.00,        31.85
N,SM,AMCL,ANB METAL CAST LIMITED,       270.85,       278.95,       283.00,       277.10,       277.10,                  2016400.00,7200, ,       295.30,       161.70
