"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"20 Microns Limited","35286502","15893364","    45.04","19393138","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","1706458","35278633","4.84",,"23-Oct-2025 16:30:42"
"21st Century Management Services Limited","10500000","6765193","    64.43","3734807","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","54170","10202574","0.53",,"23-Oct-2025 16:30:18"
"360 ONE WAM LIMITED","404760442","25328244","     6.26","379432198","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","5436770","404622710","1.34",,"23-Oct-2025 16:30:53"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","164467","11229443","1.46",,"23-Oct-2025 16:30:20"
"3P Land Holdings Limited","18000000","13194158","    73.30","4805842","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","66049","17685975","0.37",,"23-Oct-2025 16:30:15"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","2828344","46034056","6.14",,"23-Oct-2025 16:30:33"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49402301","    99.68","    28.05",,"23-Oct-2025 16:30:45","56613470","176115041","32.15",,"23-Oct-2025 16:30:45"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","1501788","211207114","0.71",,"23-Oct-2025 16:30:16"
"ACC Limited","187787263","106456927","    56.69","81330336","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","3078275","185801044","1.66",,"23-Oct-2025 16:30:07"
"ADF Foods Limited","109863595","39698565","    36.13","70165030","500000","     1.26","     0.46",,"23-Oct-2025 16:30:44","8740743","108347590","8.07",,"23-Oct-2025 16:30:44"
"AGS Transact Technologies Limited","128433076","34331205","    26.73","94101871","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2514271","128432895","1.96",,"23-Oct-2025 16:30:54"
"AIA Engineering Limited","93320370","54588377","    58.50","38731993","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","346220","93320359","0.37",,"23-Oct-2025 16:30:34"
"AION-TECH SOLUTIONS LIMITED","52261836","30759698","    58.86","21502138","888000","     2.89","     1.70",,"23-Oct-2025 16:30:28","3008095","52127107","5.77",,"23-Oct-2025 16:30:28"
"AJR INFRA AND TOLLING LIMITED","941830724","100999800","    10.72","840830924","100999800","   100.00","    10.72",,"23-Oct-2025 16:30:42","115725486","941821423","12.29",,"23-Oct-2025 16:30:42"
"AMD Industries Limited","19166749","12789849","    66.73","6376900","0","     0.00","     0.00",,"23-Oct-2025 16:30:38","139211","19166663","0.73",,"23-Oct-2025 16:30:38"
"ANDHRA PAPER LIMITED","198850195","144063000","    72.45","54787195","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","6797204","198093885","3.43",,"23-Oct-2025 16:30:20"
"APL Apollo Tubes Limited","277636026","78578549","    28.30","199057477","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","12070459","277632109","4.35",,"23-Oct-2025 16:30:47"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64",,"23-Oct-2025 16:30:43","3285333","22725240","14.46",,"23-Oct-2025 16:30:43"
"ATLANTAA LIMITED","81497971","60856728","    74.67","20641243","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","2986009","81499995","3.66",,"23-Oct-2025 16:30:35"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","235985","36543045","0.65",,"23-Oct-2025 16:30:35"
